ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,company_specific_detail,earnings_date,earnings_beat_miss,eps_actual,eps_estimate,eps_surprise_pct,revenue_actual_B,revenue_estimate_B,revenue_surprise_pct,guidance_direction,guidance_detail,china_revenue_pct,china_mechanism,sector_mechanism,macro_mechanism,tier,drop_vs_market_excess
UNH,2020-01-31,3.0,no_clear_catalyst,low,high,"Pure macro selloff; defensive characteristics muted decline","Ambiguous COVID impact on health insurer",no,,2020-01-15,beat,,,,,,,,,0,"Zero China exposure; no manufacturing in China","Healthcare defensive; smallest drop on list","Market beta only; COVID impact on insurer genuinely ambiguous",tier3_macro,1.2
GD,2020-01-31,3.2,guidance_cut,low,high,"2020 EPS guidance below consensus + COVID Gulfstream demand fears","Defense budget risk in recession scenario",yes,"2020 EPS $12.35-12.60 midpoint ~$12.47 vs consensus ~$12.80-13.00; Q4 EPS $3.51 beat; backlog record $86.9B",2020-01-29,beat,3.51,,,,10.77,,below_consensus,"2020 EPS midpoint ~$0.40-0.55 below consensus",low,"Gulfstream business jet China/Asia market exposure","XLI defense/industrials sold on recession fears","COVID recession fears threaten Gulfstream demand",tier1_dual,1.4
DHR,2020-01-31,4.8,guidance_cut,medium,high,"Q1 EPS guidance below consensus + China Life Sciences + premium valuation","Irony: Cepheid PCR testing would later benefit massively from COVID",yes,"Q1 EPS $1.06-1.09 midpoint ~$1.075 below consensus ~$1.10-1.15; Q4 beat $1.28 vs $1.25",2020-01-30,beat,1.28,1.25,2.4,4.9,,1.7,below_consensus,"Q1 guidance meaningful step-down; China Life Sciences exposure",high,"Chinese hospitals overwhelmed; routine diagnostics purchasing halted; Life Sciences/Diagnostics China exposure","High-valuation stocks fell hardest in risk-off","Largest drop (-4.8%): triple catalyst = guidance + China + valuation",tier1_dual,3.0
CVX,2020-01-31,3.8,earnings_miss,high,high,"Same-day: revenue miss + $6.6B loss + 44% reserve replacement + COVID oil","Both XOM and CVX disappointing same day amplified energy selling",yes,"Adj EPS $1.49 beat $1.45 but revenue $36.35B vs $38.64B miss; $10.4B impairments; reserve replacement 44%",2020-01-31,mixed,1.49,1.45,2.8,36.35,38.64,-5.9,,"Revenue miss despite EPS beat; reserve replacement crisis",moderate,"China ~14M bbl/day demand; lockdown = global oil demand shock","XLE energy sector hardest-hit; XOM+CVX both disappointed","Triple: COVID demand + revenue miss + reserve replacement 44%",tier1_dual,2.0
C,2020-01-31,3.9,macro_sensitivity,low,high,"COVID rate-cut fears + Asia banking + credit reserves","~57% international revenue; more exposed than JPM/WFC",no,,2020-01-14,beat,2.15,,,18.4,,,,,,low,"Asia-Pacific institutional banking; treasury/trade solutions disrupted","XLF financials sold as group; 30yr below 2%","Rate cuts compress NIM; credit loss reserves; trade finance disruption",tier3_macro,2.1
AVGO,2020-01-31,3.2,no_clear_catalyst,low,high,"COVID macro + Huawei/Apple supply chain exposure","Less direct China fab exposure than pure semi equipment names",no,,,,,,,,,,,,,moderate,"Huawei ~4-5% direct; Apple iPhone wireless components; Chinese hyperscaler networking","Semiconductor sector cohort selling","COVID China tech spending freeze",tier2_china,1.4
INTC,2020-01-31,3.8,no_clear_catalyst,low,high,"COVID macro + China ~22% revenue + digestion phase warning","Strong Q4 beat 8 days prior was backward-looking",no,,2020-01-23,beat,1.52,1.25,21.6,20.2,19.2,5.2,mixed,"Strong Q1 but flagged H2 2020 'digestion phase' for cloud capex",22,"PC OEMs (Lenovo/ASUS) in China; data center server buildouts; industrial/IoT","SOX semiconductor cohort selling; AMD competitive pressure","COVID makes Intel's own digestion phase guidance far more severe",tier2_china,2.0
AMGN,2020-01-31,4.5,guidance_cut,high,high,"FY2020 EPS guidance ~$0.70 below consensus + COVID amplifier","Otezla amortization + biosimilar erosion (Enbrel/Neulasta)",yes,"FY2020 non-GAAP EPS $14.85-15.60 midpoint ~$15.22 vs consensus $15.80-16.00; GAAP only ~$11 due to Otezla amortization",2020-01-30,beat,3.64,3.44,5.8,6.2,6.0,3.3,below_consensus,"Largest guidance miss on list; Otezla integration costs + biosimilar competition worse than modeled",low,"International ~30% revenue; clinical trial disruption; API supply chain","XLV healthcare sold in broad risk-off","Second-largest drop: major company-specific + COVID amplifier",tier1_dual,2.7
AMD,2020-01-31,3.6,guidance_cut,low,high,"Q1 revenue guidance miss + COVID China gaming/server fears","Semi-custom segment $465M vs $604M expected (massive miss)",yes,"Q1 revenue $1.8B vs $1.86B consensus; semi-custom segment missed badly; stock fell 2.5% after-hours Jan 28",2020-01-28,beat,,,,,,,below_consensus,"Q1 below consensus; FY2020 28-30% growth + 45% GM guided",18,"Gaming cafes; EPYC server orders; console chip supply chain; TSMC manufacturing dependency","SOX semiconductor cohort selling","COVID amplified existing guidance overhang from Jan 28",tier1_dual,1.8
AMAT,2020-01-31,3.8,no_clear_catalyst,low,high,"COVID macro + China fab construction freeze fears","Equipment cohort (AMAT/LRCX/KLA) sold together",no,,2019-11-14,beat,,,,,,,,,29,"China ~27-30% of semi systems revenue; SMIC/YMTC/CXMT customers; on-site engineer access impossible during lockdown","Semi equipment cohort selling; long lead-time order cancellation risk","Chinese fab construction halt = 6-18 month revenue impact",tier2_china,2.0
