ticker,event_date,drop_pct,stock_event_type,stock_event_severity,classification_confidence,primary_cause,secondary_factors,company_specific_factor,earnings_beat_miss,guidance_direction,store_description
SPG,2020-03-11,8.9,macro_sensitivity,high,high,"Expected collapse in mall foot traffic and tenant sales and rent collections. Mall landlords obvious COVID casualties as lockdowns spread","Rising probability of store closures and tenant distress. Simon formally shut U.S. properties Mar 18",no,,,"Simon was one of the cleanest physical congregation losers in the tape. With Italy in nationwide lockdown and the WHO declaring a pandemic on March 11 the market moved quickly to price a sharp hit to occupancy economics and tenant health for enclosed malls."
SO,2020-03-11,6.2,no_clear_catalyst,low,medium-low,"No Southern Company-specific negative. Indiscriminate risk-off selling rather than a clear company event","Utility sensitivity to funding conditions and broad equity deleveraging",no,,,"Utilities were not immune during the March 2020 liquidation phase even when their fundamentals were more stable than cyclicals. Southern's 6.2% drop looks mostly like part of the forced cross-sector selloff after the Italy lockdown and pandemic declaration."
SBUX,2020-03-11,8.8,demand_weakness,high,high,"Fear of global store traffic collapse and closures. Already warned in January virus would hurt results. Closed 2000+ China stores. Investors extrapolating China-style disruption globally","Exposure to urban foot traffic office districts and international markets. No new company release Mar 9-10",yes,,,"Starbucks was one of the earliest U.S. multinationals to quantify virus damage so the market had a template for what global spread could do. Once Italy locked down and COVID was labeled a pandemic investors likely assumed the China playbook would migrate to Europe and North America."
RTX,2020-03-11,9.9,macro_sensitivity,high,medium-high,"Aerospace exposure especially commercial aviation repriced sharply lower. Flights canceled borders tightened travel collapsed","General cyclicals selloff and uncertainty around pending merger and integration backdrop. No fresh Raytheon/UTC merger headline",no,,,"Even though Raytheon had defense exposure the future RTX combination also bundled in major commercial aerospace businesses highly sensitive to air-travel demand. As flights were canceled borders tightened and travel collapsed the market hit aerospace suppliers hard."
QCOM,2020-03-11,5.4,demand_weakness,medium,high,"Smartphone-demand and supply-chain disruption fears. Mar 2 Qualcomm said China virus threatened phone-industry disruption. Kept 2020 5G handset estimate at 175M-225M","Cyclical semiconductor selloff and global recession risk",yes,,,"Qualcomm had already explicitly warned that the outbreak threatened the phone industry so by March 11 investors were not waiting for another press release. The stock was being repriced for weaker handset shipments and supply-chain friction even though management had not yet cut its 5G handset outlook."
PM,2020-03-11,5.8,no_clear_catalyst,low,medium-low,"No fresh Philip Morris-specific catalyst. Broad market liquidation with concern about international distribution and disruption","EM and currency exposure and general consumer-discretionary-like de-risking despite defensive nature of tobacco",no,,,"PM's decline was larger than a normal defensive-stock move suggesting investors were selling globally exposed multinationals indiscriminately. Given its international footprint the market likely also worried about disrupted retail channels logistics and FX pressure as the pandemic spread."
PG,2020-03-11,7.4,demand_weakness,medium,high,"STOCK-SPECIFIC context. Feb 20 P&G said coronavirus would hurt current-quarter revenue and profit from supply-chain disruption and weaker China demand. Prior virus warning repriced more aggressively as outbreak globalized","Marketwide liquidation and concern supply-chain problems could outweigh demand for staples in near term",yes,,down,"Unlike Walmart P&G already had a clear negative coronavirus warning on the tape before March 11. As COVID spread outside China investors likely assumed the hit would extend beyond the company's original geographic framing which helps explain why even a staples giant fell 7.4%."
TXN,2020-03-11,5.0,macro_sensitivity,medium,medium,"Cyclical semiconductor derating on recession fears. Heavily tied to broad industrial and electronics demand. No fresh Texas Instruments-specific announcement","Concern over weaker industrial and electronics demand and supply disruption. Market moving from supply-shock to demand-destruction narrative",no,,,"Texas Instruments is heavily tied to broad industrial and electronics demand so it was a classic slowdown chip name during the COVID panic. With the market moving from a supply-shock narrative to a demand-destruction narrative TXN's 5.0% drop looks mostly like cyclical semiconductor repricing."
ISRG,2020-03-11,5.2,macro_sensitivity,medium,medium,"Expected slowdown in elective procedures using da Vinci systems. No March 9-10 Intuitive Surgical release","Hospital resource diversion and capex caution. Later confirmed procedures fell to about 65% of earlier Q1 weekly levels in last half of March",no,,,"Even before hospitals formally cut back investors could see the direction of travel: operating rooms and hospital staff were going to be redirected toward pandemic response. Later company filings confirmed that procedures in the U.S. fell to about 65% of earlier Q1 weekly levels."
INTU,2020-03-11,3.2,no_clear_catalyst,low,medium-low,"No fresh Intuit-specific release. Mostly broad-market selloff. Relatively smaller 3.2% decline","Emerging concern that small-business customers would weaken if economy shut down. Tax deadline extension and SMB pressure became clearer later",no,,,"Intuit's relatively smaller 3.2% decline supports the idea that this was largely macro. The more direct company-specific COVID issue the tax deadline extension and SMB pressure became clearer later so on March 11 the move appears mostly to have been generalized risk-off selling."
